Education;Income;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;Customer_for;Spent;Dependents;Partner;TotalAcceptedCmp;TotalPurchases
Undergraduate;58138.0;58;635.0;88.0;546.0;172.0;88.0;88.0;3;8;10;4;7;0;0;0;0;0;0;1;57;32;1617.0;0;0;0;22
Undergraduate;46344.0;38;11.0;1.0;6.0;2.0;1.0;6.0;2;1;1;2;5;0;0;0;0;0;0;0;60;4;27.0;2;0;0;4
Undergraduate;71613.0;26;426.0;49.0;127.0;111.0;21.0;42.0;1;8;2;10;4;0;0;0;0;0;0;0;49;15;776.0;0;1;0;20
Undergraduate;26646.0;26;11.0;4.0;20.0;10.0;3.0;5.0;2;2;0;4;6;0;0;0;0;0;0;0;30;2;53.0;1;1;0;6
Graduate;58293.0;94;173.0;43.0;118.0;46.0;27.0;15.0;5;5;3;6;5;0;0;0;0;0;0;0;33;10;422.0;1;1;0;14
Graduate;62513.0;16;520.0;42.0;98.0;0.0;42.0;14.0;2;6;4;10;6;0;0;0;0;0;0;0;47;15;716.0;1;1;0;20
Undergraduate;55635.0;34;235.0;65.0;164.0;50.0;49.0;27.0;4;7;3;7;6;0;0;0;0;0;0;0;43;25;590.0;1;0;0;17
Graduate;33454.0;32;76.0;10.0;56.0;3.0;1.0;23.0;2;4;0;4;8;0;0;0;0;0;0;0;29;16;169.0;1;1;0;8
Graduate;30351.0;19;14.0;0.0;24.0;3.0;3.0;2.0;1;3;0;2;9;0;0;0;0;0;0;1;40;18;46.0;1;1;0;5
Graduate;5648.0;68;28.0;0.0;6.0;1.0;1.0;13.0;1;1;0;0;20;1;0;0;0;0;0;0;64;8;49.0;2;1;1;1
Basic;7500.0;59;6.0;16.0;11.0;11.0;1.0;16.0;1;2;0;3;8;0;0;0;0;0;0;0;38;25;61.0;0;1;0;5
Undergraduate;63033.0;82;194.0;61.0;480.0;225.0;112.0;30.0;1;3;4;8;2;0;0;0;0;0;0;0;55;12;1102.0;0;0;0;15
Graduate;59354.0;53;233.0;2.0;53.0;3.0;5.0;14.0;3;6;1;5;6;0;0;0;0;0;0;0;62;12;310.0;2;0;0;12
Undergraduate;17323.0;38;3.0;14.0;17.0;6.0;1.0;5.0;1;1;0;3;8;0;0;0;0;0;0;0;27;26;46.0;0;1;0;4
Graduate;82800.0;23;1006.0;22.0;115.0;59.0;68.0;45.0;1;7;6;12;3;0;0;1;1;0;0;1;68;24;1315.0;0;0;2;25
Undergraduate;41850.0;51;53.0;5.0;19.0;2.0;13.0;4.0;3;3;0;3;8;0;0;0;0;0;0;0;34;23;96.0;2;1;0;6
Undergraduate;37760.0;20;84.0;5.0;38.0;150.0;12.0;28.0;2;4;1;6;7;0;0;0;0;0;0;0;68;27;317.0;0;1;0;11
Graduate;76995.0;91;1012.0;80.0;498.0;0.0;16.0;176.0;2;11;4;9;5;0;0;0;1;0;0;0;65;20;1782.0;1;1;1;24
Undergraduate;33812.0;86;4.0;17.0;19.0;30.0;24.0;39.0;2;2;1;3;6;0;0;0;0;0;0;0;29;33;133.0;1;0;0;6
Undergraduate;37040.0;41;86.0;2.0;73.0;69.0;38.0;48.0;1;4;2;5;8;0;0;0;0;0;0;0;32;28;316.0;0;1;0;11
Undergraduate;2447.0;42;1.0;1.0;1725.0;1.0;1.0;1.0;15;0;28;0;1;0;0;0;0;0;0;0;35;18;1730.0;1;1;0;28
Graduate;58607.0;63;867.0;0.0;86.0;0.0;0.0;19.0;3;2;3;9;8;0;1;0;0;0;0;0;65;23;972.0;1;1;1;14
Graduate;65324.0;0;384.0;0.0;102.0;21.0;32.0;5.0;3;6;2;9;4;0;0;0;0;0;0;0;60;1;544.0;1;1;0;17
Undergraduate;40689.0;69;270.0;3.0;27.0;39.0;6.0;99.0;7;7;1;5;8;0;0;0;0;0;0;0;63;20;444.0;1;1;0;13
Undergraduate;18589.0;89;6.0;4.0;25.0;15.0;12.0;13.0;2;2;1;3;7;0;0;0;0;0;0;0;45;22;75.0;0;0;0;6
Undergraduate;53359.0;4;173.0;4.0;30.0;3.0;6.0;41.0;4;5;1;4;7;0;0;0;0;0;0;0;38;18;257.0;2;1;0;10
Undergraduate;38360.0;26;36.0;2.0;42.0;20.0;21.0;10.0;2;2;1;4;3;0;0;0;0;0;0;0;25;18;131.0;1;1;0;7
Graduate;84618.0;96;684.0;100.0;801.0;21.0;66.0;0.0;1;6;9;10;2;0;0;1;0;0;0;0;49;12;1672.0;0;1;1;25
